Solar,Wind
0,0.505096221
0,0.493735829
0,0.484406706
0,0.485595516
0,0.498614195
0,0.509578143
0,0.520547782
0,0.529667609
0.000492053,0.146061061
0.024595122,0.141042497
0.123503156,0.11709082
0.244198497,0.073422179
0.333804951,0.063161288
0.372034395,0.069264053
0.366471298,0.072463967
0.31939226,0.075871924
0.227191804,0.079736475
0.111504403,0.102495267
0.020479999,0.120622082
1.92406E-06,0.134310186
0,0.145565893
0,0.150360832
0,0.159970559
0,0.16223259
0,0.166274071
0,0.172039476
0,0.179325511
0,0.191476943
0,0.202536406
0,0.208562899
0,0.20608694
0,0.209254563
0.000487152,0.21318708
0.023410889,0.20904583
0.122053679,0.175334906
0.244831287,0.138862119
0.338002962,0.13351589
0.381369793,0.136004757
0.381037483,0.134628421
0.330676884,0.129887634
0.23674673,0.145769265
0.119384046,0.175491702
0.023517166,0.200027169
3.98802E-06,0.217042073
0,0.232711322
0,0.245395451
0,0.254864453
0,0.2562828
0,0.254179853
0,0.251785233
0,0.246213383
0,0.236796253
0,0.232421875
0,0.225807276
0,0.216835176
0,0.218743333
0.000468815,0.22099483
0.023578509,0.216664014
0.122862588,0.18966114
0.247615803,0.153124534
0.342406547,0.137927124
0.383095587,0.1380415
0.382298869,0.14260683
0.325868318,0.145222177
0.236494779,0.166547267
0.121664065,0.213399167
0.025233949,0.258628853
6.7299E-06,0.294987035
0,0.311330825
0,0.321532663
0,0.32138829
0,0.321461652
0,0.322739952
0,0.322652143
0,0.314760958
0,0.308994703
0,0.30180069
0,0.28593331
0,0.278967133
0,0.278664909
0.000470747,0.287109284
0.024352971,0.289303203
0.130297662,0.257784652
0.259277707,0.212548188
0.352526542,0.187575585
0.395294639,0.180305434
0.389557204,0.175401546
0.327371486,0.169528497
0.232007564,0.183098934
0.116915401,0.215689735
0.02376046,0.247168004
1.08222E-05,0.272296031
0,0.289396274
0,0.300578659
0,0.302054132
0,0.303313816
0,0.301758904
0,0.301411149
0,0.300156835
0,0.302838065
0,0.300600932
0,0.299048995
0,0.287024798
0,0.27419037
0.000468938,0.264696671
0.019873532,0.257189297
0.09454419,0.226325225
0.191022536,0.16783988
0.268166062,0.137969113
0.310795017,0.135203077
0.313548312,0.131183356
0.26312291,0.126582246
0.186129097,0.134630333
0.097404653,0.147461071
0.02221595,0.158984485
1.44716E-05,0.179890397
0,0.190464822
0,0.1997545
0,0.198765204
0,0.19480298
0,0.184444992
0,0.176181309
0,0.173392949
0,0.167540411
0,0.1712008
0,0.173958313
0,0.194915407
0,0.19586946
0.000238016,0.198672845
0.017508354,0.195784917
0.10916952,0.162858297
0.225482259,0.138356564
0.31350763,0.120245341
0.353051498,0.12155005
0.352044238,0.128454427
0.306178723,0.139899962
0.216396521,0.148508306
0.109155506,0.170646971
0.023739412,0.184709758
2.29738E-05,0.205492232
0,0.210055322
0,0.207881672
0,0.205926414
0,0.209315179
0,0.211107074
0,0.2116639
0,0.212229782
0,0.211818599
0,0.212880554
0,0.21044986
0,0.218696538
0,0.212370012
0.000471619,0.203117347
0.021306441,0.184753015
0.117357776,0.15778901
0.242882474,0.134395665
0.341435719,0.122956442
