Solar,Wind
0,0.043585064
0,0.040448573
0,0.037993727
0,0.036248553
0,0.034798717
0,0.034772335
0,0.034102234
0,0.037441782
0,0.014451298
0,0.015255078
0.005204065,0.01786643
0.068272076,0.018120055
0.174648751,0.015121259
0.270619348,0.009592177
0.338180287,0.007037292
0.342810394,0.006900625
0.319978966,0.006542093
0.254178877,0.005751819
0.152898743,0.006819368
4.72E-02,0.011213893
0.002149578,0.022717422
0,0.033184684
0,0.036429477
0,0.030599583
0,0.024965463
0,0.023966923
0,0.025605888
0,0.031433107
0,0.039630157
0,0.040536867
0,0.03811211
0,0.03282683
0,0.031632567
0,0.029688801
0.006376147,0.026195517
0.088183941,0.024378051
0.221746067,0.022339145
0.323073354,0.018036706
0.387957671,0.015995118
0.401189483,0.016491794
0.367418672,0.016215909
0.28733178,0.014253046
0.170907015,0.016309641
4.99E-02,0.022834849
0.002245352,0.029906841
0,0.03569342
0,0.037813729
0,0.03756684
0,0.035113979
0,0.035146353
0,0.034072978
0,0.032668709
0,0.031515568
0,0.030328401
0,0.032584823
0,0.033935683
0,0.035433871
0,0.036682123
0.006452359,0.037799639
0.089719689,0.037655102
0.222202716,0.034838228
0.322885098,0.029061524
0.387506916,0.024616974
0.403149918,0.023276161
0.364257848,0.022124528
0.285671528,0.020451362
0.167243208,0.018123427
4.82E-02,0.019120776
0.002102799,0.021841371
0,0.021182676
0,0.018781416
0,0.014545525
0,0.01271389
0,0.010604027
0,0.010994323
0,0.012500224
0,0.013524131
0,0.013985519
0,0.015680356
0,0.015137091
0,0.012793417
0,0.010361744
0.006735787,0.009107144
0.084637097,0.006404791
0.205886108,0.003822607
0.301962121,0.001611313
0.362591629,0.000848913
0.381396539,0.001714506
0.344887234,0.00261115
0.267543056,0.002580906
0.155828194,0.001642495
4.48E-02,0.002546848
0.002157893,0.004467562
0,0.006774591
0,0.007791354
0,0.006946002
0,0.00601714
0,0.006059682
0,0.006746763
0,0.007014318
0,0.006994621
0,0.006073412
0,0.007129588
0,0.006150376
0,0.006447809
0,0.006808248
0.006270803,0.007365743
0.083088293,0.007597224
0.210075482,0.006740284
0.314223606,0.004984683
0.379995708,0.004479061
0.40546735,0.005856833
0.372217084,0.009368826
0.291803922,0.015055958
0.178260182,0.018654839
5.55E-02,0.030475684
0.003007517,0.050368935
0,0.058437166
0,0.064518125
0,0.061647402
0,0.058286485
0,0.059275257
0,0.061417538
0,0.067290642
0,0.075225086
0,0.07721975
0,0.067433153
0,0.061108943
0,0.057898879
0,0.057706165
0.006543575,0.057392728
0.085056848,0.054203501
0.208977851,0.04824756
0.310345148,0.040984806
0.376084057,0.039964686
0.406241549,0.042671532
0.369495573,0.044922796
0.289317133,0.043079032
0.171927901,0.043608329
5.09E-02,0.0480637
0.002430296,0.052214034
0,0.056122879
0,0.057686284
0,0.059241082
0,0.0624862
0,0.065331958
0,0.062407581
0,0.054378061
0,0.04837487
0,0.041597735
0,0.03741963
0,0.030073028
0,0.032002186
0,0.036234764
0.006386161,0.033382317
0.07989575,0.025861716
0.198154986,0.017409562
0.295191538,0.00916916
0.36018555,0.006213846
0.378761806,0.005172459
0.342676203,0.003832999
0.269166096,0.003203085
0.158307116,0.002492535
4.69E-02,0.003180663
0.002582486,0.004532107
0,0.006138002
0,0.007185036
0,0.005251553
0,0.002741733
0,0.00174126
0,0.002490889
0,0.004599306
0,0.00578425
0,0.006475561
0,0.006160439
0,0.004441239
0,0.004320839
0,0.003873048
0.006624049,0.003609925
0.081296643,0.003783759
0.201369652,0.003494168
0.297968243,0.002620299
0.361515988,0.002064217
0.379522657,0.001777227
0.344500435,0.001249942
0.269856758,0.000903016
0.159039752,0.000842613
4.94E-02,0.001743421
0.003138171,0.002610783
0,0.002045125
0,0.001309394
0,0.000991456
0,0.001119688
0,0.001491876
0,0.002170963
0,0.003228452
0,0.003904972
0,0.004305523
0,0.010698037
0,0.013902204
0,0.018215808
0,0.023939429
0.006078031,0.025992802
0.075551719,0.023869167
0.191228537,0.018008953
0.283632472,0.008589868
0.346107433,0.006616365
0.364294799,0.006114468
0.335465238,0.005301871
0.262620845,0.007245619
0.164290343,0.01203934
5.79E-02,0.017339221
0.004085978,0.02890277
0,0.037557304
0,0.046271922
0,0.047297514
0,0.044819061
0,0.040278889
0,0.042441944
0,0.047415112
0,0.053268997
0,0.059304911
0,0.059154382
0,0.056005702
0,0.053965797
0,0.049811207
0.006735886,0.044237562
0.092351186,0.035576909
0.230003234,0.026745484
0.333703523,0.019778259
0.40265873,0.020772433
0.420435247,0.019317838
0.384901925,0.01757904
0.305595581,0.01537978
0.191237431,0.013772479
6.44E-02,0.01696816
0.004330231,0.023972451
0,0.025019133
0,0.022766354
0,0.018930931
0,0.016680088
0,0.014242041
